source,target,weight
83,4649,1.0
84,4023,1.0
84,4089,1.0
84,4374,1.0
84,4499,1.0
84,4559,1.0
84,4925,1.0
85,832,1.0
85,2048,1.0
85,2763,1.0
85,3012,1.0
85,3566,1.0
86,214,1.0
86,297,1.0
86,406,1.0
86,982,1.0
86,1448,1.0
86,1918,1.0
86,4249,1.0
86,5334,1.0
86,5900,1.0
87,469,1.0
87,475,1.0
87,1264,1.0
87,1853,1.0
87,2925,1.0
87,5067,1.0
87,5301,1.0
88,952,1.0
88,1944,1.0
88,2159,1.0
88,4270,1.0
88,5434,1.0
88,5747,1.0
89,1023,1.0
89,1096,1.0
89,1906,1.0
89,1931,1.0
89,2368,1.0
89,2589,1.0
89,5132,1.0
90,1012,1.0
90,2175,1.0
90,2272,1.0
90,3029,1.0
90,3389,1.0
90,3734,1.0
90,4286,1.0
90,4972,1.0
90,5718,1.0
90,5895,1.0
90,5970,1.0
91,291,1.0
91,453,1.0
91,985,1.0
91,1425,1.0
91,1925,1.0
91,1967,1.0
91,3375,1.0
91,4123,1.0
91,5923,1.0
92,402,1.0
92,555,1.0
92,2847,1.0
92,2992,1.0
92,5193,1.0
93,270,1.0
93,2491,1.0
93,2634,1.0
93,3345,1.0
93,3396,1.0
93,3546,1.0
93,4448,1.0
93,4749,1.0
93,5200,1.0
94,858,1.0
94,1327,1.0
94,1976,1.0
94,2094,1.0
94,2121,1.0
94,3834,1.0
94,3835,1.0
94,5619,1.0
95,525,1.0
95,2577,1.0
95,2819,1.0
95,4337,1.0
95,4509,1.0
96,803,1.0
96,1580,1.0
96,1726,1.0
96,3123,1.0
96,5511,1.0
97,1004,1.0
97,1053,1.0
97,3146,1.0
97,5116,1.0
97,5922,1.0
98,667,1.0
98,812,1.0
98,814,1.0
98,2448,1.0
98,2618,1.0
98,2731,1.0
99,1321,1.0
99,1748,1.0
99,3392,1.0
99,4084,1.0
99,4157,1.0
99,4337,1.0
99,4527,1.0
99,5881,1.0
100,119,1.0
100,225,1.0
100,518,1.0
100,3341,1.0
100,4458,1.0
100,4554,1.0
100,4863,1.0
101,354,1.0
101,608,1.0
101,652,1.0
101,3423,1.0
101,4178,1.0
101,5029,1.0
101,5236,1.0
101,5335,1.0
101,5723,1.0
102,1729,1.0
102,2049,1.0
102,2341,1.0
102,2419,1.0
102,3006,1.0
102,4714,1.0
103,1451,1.0
103,1581,1.0
103,2220,1.0
103,3578,1.0
103,4254,1.0
104,539,1.0
104,563,1.0
104,2269,1.0
104,2433,1.0
104,3882,1.0
104,4036,1.0
104,5652,1.0
105,1130,1.0
105,1426,1.0
105,1904,1.0
105,2755,1.0
105,3248,1.0
105,3336,1.0
105,5034,1.0
106,636,1.0
106,2092,1.0
106,5079,1.0
106,5402,1.0
106,5861,1.0
107,286,1.0
107,1057,1.0
107,1722,1.0
107,1871,1.0
107,2183,1.0
107,5006,1.0
107,5072,1.0
107,5348,1.0
108,501,1.0
108,1725,1.0
108,2235,1.0
108,2996,1.0
108,3292,1.0
109,432,1.0
109,864,1.0
109,919,1.0
109,1357,1.0
109,2437,1.0
109,4306,1.0
109,5305,1.0
109,5560,1.0
110,226,1.0
110,1149,1.0
110,1306,1.0
110,3391,1.0
110,4685,1.0
110,5706,1.0
111,121,1.0
111,2880,1.0
111,3603,1.0
111,3967,1.0
111,5734,1.0
112,1883,1.0
112,2983,1.0
112,3004,1.0
112,4556,1.0
112,5340,1.0
113,1824,1.0
113,2190,1.0
113,2587,1.0
113,2875,1.0
113,2997,1.0
113,5952,1.0
114,429,1.0
114,1865,1.0
114,2083,1.0
114,2354,1.0
114,2638,1.0
114,3370,1.0
114,5576,1.0
115,333,1.0
115,704,1.0
115,1844,1.0
115,2164,1.0
115,3421,1.0
115,4234,1.0
115,5064,1.0
116,395,1.0
116,411,1.0
116,524,1.0
